asset_id,exam_id,phase_id,exam_year,round_label,asset_kind,subject_scope,title,url,source_owner,source_type,rights_policy,fetch_policy,training_policy,priority,notes
qnet_cta_2025_1_questions,CTA,CTA_1,2025,62,question,all,2025년 제62회 세무사 1차시험 문제지,https://www.q-net.or.kr/cst003.do?artlSeq=5233725&boardId=Q004&gId=22&gSite=L&id=cst00302&menuType=cst00309,한국산업인력공단,official,official_download_check_required,metadata_page,train_after_rights_review,1,Q-Net 공식 기출문제 상세 페이지
qnet_cta_2025_2_questions,CTA,CTA_2,2025,62,question,all,2025년 제62회 세무사 2차시험 문제지,https://www.q-net.or.kr/cst003.do?artlSeq=5241124&boardId=Q004&gId=22&gSite=L&id=cst00302&menuType=cst00309,한국산업인력공단,official,official_download_check_required,metadata_page,train_after_rights_review,1,Q-Net 공식 기출문제 상세 페이지
qnet_cta_2024_1_questions,CTA,CTA_1,2024,61,question,all,2024년 제61회 세무사 1차시험 문제지,https://www.q-net.or.kr/cst003.do?artlSeq=5213275&boardId=Q004&gId=22&gSite=L&id=cst00302&menuType=cst00309,한국산업인력공단,official,official_download_check_required,metadata_page,train_after_rights_review,1,Q-Net 공식 기출문제 상세 페이지
qnet_cta_2024_2_questions,CTA,CTA_2,2024,61,question,all,2024년 제61회 세무사 2차시험 문제지,https://www.q-net.or.kr/cst003.do?artlSeq=5213627&boardId=Q004&gId=22&gSite=L&id=cst00302&menuType=cst00309,한국산업인력공단,official,official_download_check_required,metadata_page,train_after_rights_review,1,Q-Net 공식 기출문제 상세 페이지
qnet_cta_answer_schedule,CTA,CTA_1,2026,63,answer,all,세무사 가답안 및 최종정답 공개,https://www.q-net.or.kr/anc002.do?gId=22&gSite=L&id=anc00201,한국산업인력공단,official,official_download_check_required,metadata_page,train_after_rights_review,1,Q-Net 공식 정답 공개 페이지
qnet_cta_2013_1_answer,CTA,CTA_1,2013,50,answer,all,2013년 제50회 세무사 1차 국가자격시험 정답,https://www.q-net.or.kr/cst003.do?artlSeq=5068603&boardId=Q004&gId=22&gSite=L&id=cst00302,한국산업인력공단,official,official_download_check_required,metadata_page,train_after_rights_review,2,Q-Net 공식 정답 상세 페이지
cpa_fss_past_question_registry,CPA,all,,all,question,all,공인회계사시험 공식 기출문제 자료실,https://cpa.fss.or.kr,금융감독원,official,official_download_check_required,metadata_only,train_after_rights_review,1,공식 홈페이지 자료실-기출문제 코너 기준. 상세 URL 발견 작업 필요
cpa_allaboutwealth_past_exam_index,CPA,all,,all,question_answer,all,공인회계사 1차/2차 기출 문제 모음 인덱스,https://allaboutwealth.tistory.com/325,개인 블로그,public_web_mirror,rights_check_required,metadata_page,do_not_train_until_permission,3,공식 파일 링크 발견 보조 인덱스. 원문/첨부는 권리 확인 전 학습 금지
solve_cpa_2019_commercial_tax_explanation,CPA,CPA_1,2019,54,explanation,기업법/세법개론,2019년 제54회 공인회계사 1차 상법·세법개론 자동채점 해설,https://books.solve.im/exams/detail/2633,쏠브북스,partner_candidate,permission_required,metadata_only,do_not_train_until_permission,2,해설 권리 확보 또는 제휴 필요
namucpa_cpa_2025_advanced_accounting_explanation,CPA,CPA_1,2025,60,explanation,회계학,2025 공인회계사 1차 고급회계 해설 PDF,https://www.namucpa.com/wbsGBL_strg/NAMU/LectureMaster/15548/2025_%ED%9A%8C%EA%B3%84%EC%82%AC1%EC%B0%A8_%EA%B3%A0%EA%B8%89%ED%95%B4%EC%84%A4-%ED%8E%B8%EC%A7%91.pdf,나무경영아카데미,academy_public_pdf,rights_check_required,metadata_only,do_not_train_until_permission,2,공개 PDF라도 해설 저작권 확인 전 학습 금지
hackers_cta_2023_public_finance_explanation,CTA,CTA_1,2023,60,explanation,재정학,2023년 제60회 세무사 1차 재정학 기출문제 해설,https://cdn.hackers.com/frontend/ecpa/files/event/24031200/%EC%A0%9C%2060%ED%9A%8C%20%EC%84%B8%EB%AC%B4%EC%82%AC%201%EC%B0%A8%20%EC%9E%AC%EC%A0%95%ED%95%99%20-%20%EC%84%9C%ED%98%B8%EC%84%B1.pdf,해커스,academy_public_pdf,rights_check_required,metadata_only,do_not_train_until_permission,2,공개 PDF라도 해설 저작권 확인 전 학습 금지
namucpa_cta_2024_financial_accounting_explanation,CTA,CTA_2,2024,61,explanation,회계학 1부,2024 세무사 2차 재무회계 기출문제 해설,https://namucpa.com/wbsGBL_strg/NAMU/LectureMaster/14756/2024%EC%84%B8%EB%AC%B4%EC%82%AC2%EC%B0%A8%EC%9E%AC%EB%AC%B4%ED%9A%8C%EA%B3%84%EA%B8%B0%EC%B6%9C%EB%AC%B8%EC%A0%9C%20%ED%95%B4%EC%84%A4%20%ED%8E%B8%EC%A7%91%20%281%29.pdf,나무경영아카데미,academy_public_pdf,rights_check_required,metadata_only,do_not_train_until_permission,2,공개 PDF라도 해설 저작권 확인 전 학습 금지
